E3,SUB,source,key,SUB_random,E3_random
Q96PU5,Q9UQD0,11111111,Q96PU5_Q9UQD0,P35611,Q99259
Q96PU5,Q14524,11111111,Q96PU5_Q14524,Q9Y5X1,Q92823
Q96PU5,P37088,12522688,Q96PU5_P37088,P51172,A8MYU2
Q96PU5,P51170,14556380,Q96PU5_P51170,P54296,P51787
Q96PU5,Q9NV92,15252135,Q96PU5_Q9NV92,P04150,Q5H9S7
Q96PU5,Q15796,15496141,Q96PU5_Q15796,Q86UW9,P20908
Q96PU5,P36897,15496141,Q96PU5_P36897,Q86UC2,Q8TDM6
Q96PU5,O00141,15576372,Q96PU5_O00141,Q5VY09,Q9NRX1
Q96PU5,P37173,15817471,Q96PU5_P37173,Q6GTS8,P06756
Q96PU5,P04629,16701206,Q96PU5_P04629,Q5HYW2,O60603
Q96PU5,Q16620,16701206,Q96PU5_Q16620,Q9UK41,Q00535
Q96PU5,Q01959,16885233,Q96PU5_Q01959,Q8NEZ2,Q8TE12
Q96PU5,Q9H3D4,16908849,Q96PU5_Q9H3D4,P55017,Q07812
Q96PU5,Q96QD8,17003038,Q96PU5_Q96QD8,Q9UKV5,Q05682
Q96PU5,P51168,17502380,Q96PU5_P51168,O60333,Q16099
Q96PU5,Q99816,18321968,Q96PU5_Q99816,Q8WZ55,P30626
Q96PU5,Q96PU5,18498246,Q96PU5_Q96PU5,O00762,P63279
Q96PU5,Q9BSA4,18577513,Q96PU5_Q9BSA4,P49418,Q5XXA6
Q96PU5,Q07912,19144635,Q96PU5_Q07912,P10620,Q8NI35
Q96PU5,P11686,19423771,Q96PU5_P11686,P40818,Q9NZ71
Q96PU5,P49281,19706893,Q96PU5_P49281,Q96B97,P27540
Q96PU5,P84022,19917253,Q96PU5_P84022,Q9BV68,Q92932
Q96PU5,Q16625,20504882,Q96PU5_Q16625,P01138,P05787
Q96PU5,O14964,20675381,Q96PU5_O14964,P24928,Q14254
Q96PU5,Q9H1D0,20843805,Q96PU5_Q9H1D0,P22314,P00325
Q96PU5,Q12809,21463633,Q96PU5_Q12809,P49427,O95180
Q96PU5,P43003,22199232,Q96PU5_P43003,P04049,Q96AT9
Q96PU5,P22001,22199232,Q96PU5_P22001,Q86UV5,P61513
Q96PU5,Q6PJG6,22199232,Q96PU5_Q6PJG6,Q4U2R8,P41002
Q96PU5,O00213,22199232,Q96PU5_O00213,P22460,Q99767
Q96PU5,Q8WXF1,22199232,Q96PU5_Q8WXF1,P08588,O15397
Q96PU5,Q4VCS5,22385262,Q96PU5_Q4VCS5,Q9UEW8,Q15562
Q96PU5,P53805,22426484,Q96PU5_P53805,Q9HBG4,P27361
Q96PU5,Q96D31,22682960,Q96PU5_Q96D31,Q9C0C9,P40145
Q96PU5,Q9P2K8,25589675,Q96PU5_Q9P2K8,Q93034,Q9BQI3
Q96PU5,P62745,26949039,Q96PU5_P62745,Q712K3,P53667
Q96PU5,P04637,29323264,Q96PU5_P04637,P51787,P10276
Q96PU5,Q8TCC7,29487013,Q96PU5_Q8TCC7,P25685,P16662
Q96PU5,Q6UUV7,29505301,Q96PU5_Q6UUV7,Q9UM01,Q86YT5
Q96PU5,O76090,31036321,Q96PU5_O76090,Q9Y251,Q13443
Q96PU5,O14641,31867777,Q96PU5_O14641,Q96GF1,Q15796
Q96PU5,Q9BXB1,31867777,Q96PU5_Q9BXB1,O95140,O14640
Q96PU5,O75473,31867777,Q96PU5_O75473,P51793,Q99504
Q96PU5,P33527,32140187,Q96PU5_P33527,P50570,O95977
Q96PU5,P31749,32322280,Q96PU5_P31749,Q14241,P00374
Q96PU5,Q01813,32679544,Q96PU5_Q01813,Q86TM6,Q9Y4K3
Q96PU5,P35240,33058421,Q96PU5_P35240,P21549,Q14999
Q96PU5,Q8TDR2,33117809,Q96PU5_Q8TDR2,P15056,Q8NB50
Q96PU5,O15527,33282879,Q96PU5_O15527,Q92890,O96017
Q96PU5,Q13114,33608556,Q96PU5_Q13114,Q99576,Q96PV0
Q96PU5,P40189,33769697,Q96PU5_P40189,Q92556,P01116
Q96PU5,Q9NRA0,34305532,Q96PU5_Q9NRA0,O75886,P01375
Q9UM11,Q99741,10995389,Q9UM11_Q99741,P55209,Q8N5L8
Q9UM11,P53350,11111111,Q9UM11_P53350,Q9UJX6,O14641
Q9UM11,P20248,11285280,Q9UM11_P20248,Q9BPX7,Q9UII4
Q9UM11,P12757,11741538,Q9UM11_P12757,Q9NRR5,O75446
Q9UM11,O14965,12023018,Q9UM11_O14965,Q86Y37,P38398
Q9UM11,P30304,12234927,Q9UM11_P30304,P36542,P0CJ69
Q9UM11,P04183,14701726,Q9UM11_P04183,Q03933,Q5RL73
Q9UM11,Q13309,15014502,Q9UM11_Q13309,Q16667,P11142
Q9UM11,Q14511,15144564,Q9UM11_Q14511,Q10570,Q92563
Q9UM11,P26358,15899874,Q9UM11_P26358,Q12962,P35542
Q9UM11,Q12834,15916961,Q9UM11_Q12834,Q8NHZ8,Q9Y3D0
Q9UM11,Q9NQW6,16040610,Q9UM11_Q9NQW6,Q8IXJ6,Q9H0H5
Q9UM11,Q96GD4,16204042,Q9UM11_Q96GD4,Q16589,Q9ULC8
Q9UM11,Q9ULW0,16287863,Q9UM11_Q9ULW0,O75365,Q8N9X5
Q9UM11,O95997,16355229,Q9UM11_O95997,P51959,Q8TB68
Q9UM11,P41134,16810178,Q9UM11_P41134,P11831,P02792
Q9UM11,Q02363,16810178,Q9UM11_Q02363,P31749,O15105
Q9UM11,Q01196,17015473,Q9UM11_Q01196,Q9NWT1,P43235
Q9UM11,O43683,17158872,Q9UM11_O43683,Q9Y6J9,Q8IWT6
Q9UM11,Q8WWK9,17339342,Q9UM11_Q8WWK9,Q969H0,P02741
Q9UM11,P13349,17601983,Q9UM11_P13349,Q14186,Q15910
Q9UM11,Q9BXS6,17618083,Q9UM11_Q9BXS6,Q9BRX9,Q06455
Q9UM11,P55290,17631504,Q9UM11_P55290,O14757,P23229
Q9UM11,Q6UVJ0,17681132,Q9UM11_Q6UVJ0,O00311,P19623
Q9UM11,Q08050,18573889,Q9UM11_Q08050,Q5TEC6,A0A0A6YYC5
Q9UM11,Q9HAW4,18662541,Q9UM11_Q9HAW4,Q14137,Q16769
Q9UM11,P14635,18753608,Q9UM11_P14635,P60484,Q9H410
Q9UM11,Q5FBB7,19015261,Q9UM11_Q5FBB7,Q15329,A0A0J9YX75
Q9UM11,O75496,19101468,Q9UM11_O75496,P30291,Q8N554
Q9UM11,Q16875,20080744,Q9UM11_Q16875,P36543,Q13415
Q9UM11,P53779,20581839,Q9UM11_P53779,Q96Q40,Q8TBF4
Q9UM11,P45984,20581839,Q9UM11_P45984,Q9UNH5,Q12933
Q9UM11,P45983,20581839,Q9UM11_P45983,Q15003,Q9Y4K3
Q9UM11,O43474,21177849,Q9UM11_O43474,O75973,P08134
Q9UM11,O14777,21199005,Q9UM11_O14777,Q6NUT3,O14929
Q9UM11,O00429,21325626,Q9UM11_O00429,Q9P013,Q9NTJ5
Q9UM11,Q15004,21700221,Q9UM11_Q15004,P22314,Q9BYJ1
Q9UM11,O94782,21768287,Q9UM11_O94782,Q9UJX3,P37288
Q9UM11,Q99708,22199232,Q9UM11_Q99708,Q9H040,P15309
Q9UM11,Q86WB0,22205987,Q9UM11_Q86WB0,Q6FI81,Q8IUI8
Q9UM11,Q96BY2,22529100,Q9UM11_Q96BY2,Q9NQR1,P46821
Q9UM11,O00716,22580460,Q9UM11_O00716,P62877,P00374
Q9UM11,Q01094,22580462,Q9UM11_Q01094,Q86TI4,Q52LA3
Q9UM11,Q00059,23045728,Q9UM11_Q00059,Q9H9B1,Q8TE49
Q9UM11,O60313,23045728,Q9UM11_O60313,Q9UBD5,Q07654
Q9UM11,Q8IWA4,23045728,Q9UM11_Q8IWA4,P38936,Q9NR46
Q9UM11,O60566,23091007,Q9UM11_O60566,Q96DE5,P50993
Q9UM11,P48431,23972993,Q9UM11_P48431,Q13825,A0A0B4J2D5
Q9UM11,Q9P2P5,24163370,Q9UM11_Q9P2P5,P33316,Q9NVA1
Q9UM11,Q15468,24485834,Q9UM11_Q15468,Q9UMX0,Q14790
Q9UM11,Q96C86,25043029,Q9UM11_Q96C86,P62979,O15067
Q9UM11,P23760,26329581,Q9UM11_P23760,Q9UJX2,P15863
Q9UM11,P51955,26387737,Q9UM11_P51955,Q9H7N4,P08069
Q9UM11,Q9NRM7,31000600,Q9UM11_Q9NRM7,P49918,Q13643
Q9UM11,P16284,31489637,Q9UM11_P16284,P10275,Q5XXA6
O43791,O75367,15897469,O43791_O75367,Q9BZJ0,Q8IXJ6
O43791,P35226,15897469,O43791_P35226,Q9UBK5,Q06587
